FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2020-06-05;0.206
B;Business;2Y;2 years;3;2020-06-08;0.222
B;Business;2Y;2 years;3;2020-06-09;0.219
B;Business;2Y;2 years;3;2020-06-10;0.223
B;Business;2Y;2 years;3;2020-06-11;0.168
B;Business;2Y;2 years;3;2020-06-12;0.159
B;Business;2Y;2 years;3;2020-06-15;0.143
B;Business;2Y;2 years;3;2020-06-16;0.15
B;Business;2Y;2 years;3;2020-06-17;0.151
B;Business;2Y;2 years;3;2020-06-18;0.186
B;Business;2Y;2 years;3;2020-06-19;0.179
B;Business;2Y;2 years;3;2020-06-22;0.174
B;Business;2Y;2 years;3;2020-06-23;0.183
B;Business;2Y;2 years;3;2020-06-24;0.186
B;Business;2Y;2 years;3;2020-06-25;0.172
B;Business;2Y;2 years;3;2020-06-26;0.175
B;Business;2Y;2 years;3;2020-06-29;0.174
B;Business;2Y;2 years;3;2020-06-30;0.131
B;Business;2Y;2 years;3;2020-07-01;0.132
B;Business;2Y;2 years;3;2020-07-02;0.138
B;Business;2Y;2 years;3;2020-07-03;0.129
B;Business;2Y;2 years;3;2020-07-06;0.141
B;Business;2Y;2 years;3;2020-07-07;0.141
B;Business;2Y;2 years;3;2020-07-08;0.14
B;Business;2Y;2 years;3;2020-07-09;0.136
B;Business;2Y;2 years;3;2020-07-10;0.134
B;Business;2Y;2 years;3;2020-07-13;0.144
B;Business;2Y;2 years;3;2020-07-14;0.142
B;Business;2Y;2 years;3;2020-07-15;0.141
B;Business;2Y;2 years;3;2020-07-16;0.14
B;Business;2Y;2 years;3;2020-07-17;0.138
B;Business;2Y;2 years;3;2020-07-20;0.13
B;Business;2Y;2 years;3;2020-07-21;0.126
B;Business;2Y;2 years;3;2020-07-22;0.113
B;Business;2Y;2 years;3;2020-07-23;0.116
B;Business;2Y;2 years;3;2020-07-24;0.124
B;Business;2Y;2 years;3;2020-07-27;0.121
B;Business;2Y;2 years;3;2020-07-28;0.118
B;Business;2Y;2 years;3;2020-07-29;0.112
B;Business;2Y;2 years;3;2020-07-30;0.109
B;Business;2Y;2 years;3;2020-07-31;0.121
B;Business;2Y;2 years;3;2020-08-03;0.13
B;Business;2Y;2 years;3;2020-08-04;0.13
B;Business;2Y;2 years;3;2020-08-05;0.137
B;Business;2Y;2 years;3;2020-08-06;0.138
B;Business;2Y;2 years;3;2020-08-07;0.148
B;Business;2Y;2 years;3;2020-08-10;0.154
B;Business;2Y;2 years;3;2020-08-11;0.185
B;Business;2Y;2 years;3;2020-08-12;0.207
B;Business;2Y;2 years;3;2020-08-13;0.224
B;Business;2Y;2 years;3;2020-08-14;0.222
B;Business;2Y;2 years;3;2020-08-17;0.218
B;Business;2Y;2 years;3;2020-08-18;0.211
B;Business;2Y;2 years;3;2020-08-19;0.209
B;Business;2Y;2 years;3;2020-08-20;0.194
B;Business;2Y;2 years;3;2020-08-21;0.191
B;Business;2Y;2 years;3;2020-08-24;0.195
B;Business;2Y;2 years;3;2020-08-25;0.21
B;Business;2Y;2 years;3;2020-08-26;0.198
B;Business;2Y;2 years;3;2020-08-27;0.189
B;Business;2Y;2 years;3;2020-08-28;0.195
B;Business;2Y;2 years;3;2020-08-31;0.193
B;Business;2Y;2 years;3;2020-09-01;0.188
B;Business;2Y;2 years;3;2020-09-02;0.179
B;Business;2Y;2 years;3;2020-09-03;0.17
B;Business;2Y;2 years;3;2020-09-04;0.158
B;Business;2Y;2 years;3;2020-09-07;0.163
B;Business;2Y;2 years;3;2020-09-08;0.151
B;Business;2Y;2 years;3;2020-09-09;0.155
B;Business;2Y;2 years;3;2020-09-10;0.172
B;Business;2Y;2 years;3;2020-09-11;0.167
B;Business;2Y;2 years;3;2020-09-14;0.139
B;Business;2Y;2 years;3;2020-09-15;0.147
B;Business;2Y;2 years;3;2020-09-16;0.129
B;Business;2Y;2 years;3;2020-09-17;0.115
B;Business;2Y;2 years;3;2020-09-18;0.115
B;Business;2Y;2 years;3;2020-09-21;0.112
B;Business;2Y;2 years;3;2020-09-22;0.12
B;Business;2Y;2 years;3;2020-09-23;0.121
B;Business;2Y;2 years;3;2020-09-24;0.106
B;Business;2Y;2 years;3;2020-09-25;0.11
B;Business;2Y;2 years;3;2020-09-28;0.119
B;Business;2Y;2 years;3;2020-09-29;0.111
B;Business;2Y;2 years;3;2020-09-30;0.108
B;Business;2Y;2 years;3;2020-10-01;0.109
B;Business;2Y;2 years;3;2020-10-02;0.109
B;Business;2Y;2 years;3;2020-10-05;0.116
B;Business;2Y;2 years;3;2020-10-06;0.128
B;Business;2Y;2 years;3;2020-10-07;0.14
B;Business;2Y;2 years;3;2020-10-08;0.134
B;Business;2Y;2 years;3;2020-10-09;0.131
B;Business;2Y;2 years;3;2020-10-12;0.137
B;Business;2Y;2 years;3;2020-10-13;0.137
B;Business;2Y;2 years;3;2020-10-14;0.133
B;Business;2Y;2 years;3;2020-10-15;0.128
B;Business;2Y;2 years;3;2020-10-16;0.126
B;Business;2Y;2 years;3;2020-10-19;0.135
B;Business;2Y;2 years;3;2020-10-20;0.134
B;Business;2Y;2 years;3;2020-10-21;0.139
B;Business;2Y;2 years;3;2020-10-22;0.148
B;Business;2Y;2 years;3;2020-10-23;0.172
B;Business;2Y;2 years;3;2020-10-26;0.168
B;Business;2Y;2 years;3;2020-10-27;0.164
B;Business;2Y;2 years;3;2020-10-28;0.16
B;Business;2Y;2 years;3;2020-10-29;0.164
B;Business;2Y;2 years;3;2020-10-30;0.171
B;Business;2Y;2 years;3;2020-11-02;0.189
B;Business;2Y;2 years;3;2020-11-03;0.196
B;Business;2Y;2 years;3;2020-11-04;0.198
B;Business;2Y;2 years;3;2020-11-05;0.197
B;Business;2Y;2 years;3;2020-11-06;0.199
B;Business;2Y;2 years;3;2020-11-09;0.218
B;Business;2Y;2 years;3;2020-11-10;0.231
B;Business;2Y;2 years;3;2020-11-11;0.229
