Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y2M
2008-02-19,4.163147528351911,3.3988676469100945,3.4765333181983795,3.3407404220992776,4.202327484264885,4.113792264908916,4.183083980860757,3.2878778573479703,3.6648148984834465,3.570645313320277,3.5825043258400213,3.6531776444890576,3.349643253636448,4.075968918801298,3.442374326780108,4.052194357406949,3.710765901078031
2008-02-18,4.150097718015973,3.3929592666732225,3.469457670575773,3.335448691202802,4.1896636328684895,4.100404581764011,4.1702174112931925,3.2808994848079127,3.654585713487987,3.5619793467617202,3.573636287623828,3.643134499485984,3.344281949684466,4.062431478053706,3.4358410167917386,4.038609838662795,3.699831767479292
2008-02-15,4.1054681628600465,3.3215090742240436,3.4020139487762306,3.260881839914318,4.1456215130625615,4.054926367515047,4.125896225670834,3.2056694070584744,3.595725657438203,3.4990372110941936,3.511231832926061,3.5837933753126783,3.2701940960001714,4.016219888526521,3.366664733571912,3.9919001541540773,3.6428061696255805
2008-02-14,4.134226181445323,3.3870848035523564,3.4636694354139914,3.3285695518877385,4.173365006524742,4.08513339747843,4.154122945890167,3.263516949300771,3.6466293156234113,3.5553659756399916,3.566875033969821,3.6353614356809336,3.337643074650934,4.047664792491936,3.4301332308555295,4.024178685806249,3.6911199860232866
2008-02-13,4.099150678227439,3.3298987105286573,3.407467974470074,3.2712458664773365,4.139983586291358,4.047997684183351,4.119902988978419,3.2141282518097922,3.594485401044487,3.500975248522752,3.512746178581669,3.5829202860377043,3.2802838155462277,4.009005892841399,3.3734237099820614,3.984586979655521,3.640199039942179
2008-02-12,4.061061496444103,3.3024926303069733,3.3783839334394115,3.245212587502249,4.1017191433405715,4.0101841100734035,4.0817198237608086,3.190362330498123,3.5618845009427647,3.470040217594159,3.4815911493341565,3.550515159090648,3.2540312907267737,3.971444917263515,3.3450594523873347,3.9472030889916465,3.6068533030121896
2008-02-11,3.988185060530094,3.2347046708115688,3.3101515442596976,3.1780934809048698,4.0283170840744855,3.937917114677892,4.00858063488283,3.1313643204268042,3.492943154817857,3.4014511901578803,3.4129598424228327,3.4816204056326088,3.1867710115204977,3.8996065974742504,3.2769910624561263,3.875617778876639,3.53771525947548
2008-02-08,3.999351448615254,3.2777839086420704,3.3497866891559194,3.2224878794680167,4.039031673340207,3.949880801640687,4.019497023538435,3.1591024419770806,3.522353363064677,3.436043457960661,3.446895691681771,3.5116618755541404,3.2310947777276895,3.912351443220193,3.3182762250467155,3.8889279567040793,3.5646822600067622
2008-02-07,4.00384647623721,3.296045766585258,3.3646250702285574,3.2452780132785826,4.042636951824256,3.955390693770235,4.02354874039567,3.207370188894119,3.5334979594432614,3.4485661234562492,3.459208088911992,3.522947736409825,3.2530060325194405,3.918561934127636,3.334380148152019,3.8955460955328904,3.5753169648299834
2008-02-06,4.010129773075174,3.378430490703362,3.437271294948035,3.335511271960379,4.045995488676249,3.9654800086811117,4.028333213505123,3.3081693536151247,3.584830150707109,3.5102071113923015,3.5195144692478406,3.575519124401347,3.3419939463324155,3.9316612592015634,3.411224972218973,3.9105793414663688,3.621847023173738
2008-02-05,3.9879156100885105,3.3575819849947752,3.413139594107201,3.3191534813064663,4.024105181927421,3.94280929320797,4.006288481880908,3.315584733085434,3.5583626163544615,3.4842385740426645,3.4934238078276962,3.549061932512783,3.3247657133941897,3.908610625401213,3.3882738072195737,3.887279563408686,3.595447780314346
2008-02-04,4.054009691026148,3.4910926381197136,3.5398217827194607,3.4565283784017704,4.087990026116028,4.011962140058153,4.071233742889084,3.4396614037940574,3.666317592413783,3.601691111163398,3.609683460260444,3.658188150853641,3.4616741003716722,3.9803076083026863,3.5180990333871014,3.960660953991293,3.698810718170092
2008-02-01,4.062460202151484,3.496385813681566,3.545187243675513,3.461579871749869,4.096984348248226,4.019804597109158,4.079954039937856,3.440744554027547,3.671723002361618,3.6070572090171558,3.6150505303396376,3.663583886544873,3.466784069690416,3.9877394150449312,3.523449922193578,3.967858089625338,3.7042718394463385
2008-01-31,4.071868690674772,3.488823716970533,3.5398144041175152,3.452167409701018,4.107067225693489,4.0283392172009505,4.089707823500533,3.4270387356779466,3.6710363401082824,3.6041090320027096,3.6123951513726755,3.6626251695259073,3.4576745221693526,3.9955859933707685,3.5171414358681696,3.9752640383781594,3.7046408854564943
2008-01-30,4.161910342451545,3.5972560770982387,3.645673457807465,3.56277148018036,4.196074637891743,4.119608947992397,4.179230213110303,3.536670617853895,3.771927060443379,3.707300868824216,3.715279734074234,3.763784810516418,3.5679343711632696,4.087747641522648,3.624086075117523,4.067967401851698,3.8045031009326005
2008-01-29,4.123318907326223,3.5584645764865193,3.6065695016827055,3.5248580008735537,4.157185223131359,4.081309764911426,4.140494673217175,3.5093940257191867,3.733286734741557,3.668328876940025,3.6763433495007307,3.7250996934968454,3.5298207865106406,4.049613413400599,3.585047450089964,4.029912196339426,3.766039886853146
2008-01-28,4.084645992434503,3.5180495670638763,3.5656814089057987,3.4851371160904483,4.118843612633249,4.0422472385915125,4.101987915905959,3.474591690401201,3.692185549948551,3.6272165161275414,3.6352212800793344,3.6839869904159683,3.4899617328278065,4.010273385562067,3.5443246946304443,3.9904071553758635,3.725008717260212
2008-01-25,4.155179507948066,3.6486681548462654,3.6898474258226326,3.6196450069075503,4.187223442435789,4.115662890941902,4.171410646251784,3.5966960230444407,3.799575997945623,3.7430015625179767,3.7499415831365095,3.792403669541116,3.623976114541697,4.086024110916145,3.671422937584471,4.06768099009393,3.8283940589219063
2008-01-24,4.124861542850429,3.5774249466549644,3.6215964602868684,3.546520149888667,4.159620150414881,4.08200894702584,4.142466707837208,3.5259021825714427,3.7398737845092054,3.6788286120551517,3.68631135085411,3.732129459516278,3.5511085673982397,4.049877161702418,3.6018061630509726,4.029995279209913,3.7710024638252087
2008-01-23,4.061117661214729,3.446856091615957,3.5045704307497845,3.4029373924036896,4.096986121457564,4.016661123941191,4.079305101653119,3.347384065887385,3.6462050854553922,3.5747620955276096,3.5836785393304043,3.6372898830541853,3.409762623746651,3.9831361341152265,3.4792215717836292,3.9623021131691964,3.6816802660916497
2008-01-22,4.091260739720486,3.4747502314544123,3.53401206216935,3.431423744991254,4.12417670895923,4.049906185573882,4.108000736111756,3.396724164012684,3.681907562029055,3.6073015647754096,3.6166322314692687,3.672627066172637,3.4379827133585428,4.018306140225303,3.5077898053947685,3.9984876608168944,3.718707165175771
2008-01-21,4.058636562795631,3.482816909030522,3.5306097087920163,3.450856882114051,4.09264546969039,4.01627577284241,4.0759006584058515,3.453561184450024,3.6599898575359093,3.5933379787664266,3.601536654318254,3.651570118406541,3.455434349518846,3.984191287364195,3.509051078977034,3.9641980688429905,3.6937012971102408
2008-01-18,4.097721393256194,3.5678559907980056,3.6081802938765204,3.5423024099296323,4.13066948107288,4.056850095662274,4.114432450073124,3.5553727717490835,3.722755603169777,3.663009535180248,3.6702873345533433,3.715140652963617,3.5458357815030883,4.026025562764653,3.58978320815286,4.0068779643785595,3.7534151959968023
2008-01-17,4.113650804311446,3.6141736522795602,3.650859595007593,3.5914754384378424,4.145239410338445,4.074507788548234,4.129668779365931,3.605971560117463,3.7573167955856643,3.70152227027247,3.708291424956605,3.7501798866870937,3.594564614360485,4.045020625948178,3.634038415863732,4.026719819581881,3.7861143142266824
2008-01-16,4.1294726672485575,3.672318213293237,3.7032122301563963,3.6543945432896487,4.159580644293988,4.092281940942483,4.14472959845658,3.6741182204829896,3.79743164190954,3.7474896525130115,3.753494595009661,3.7909923607068388,3.656720265517719,4.064356806947879,3.6888704676427686,4.047067146590454,3.823539976949765
