Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y7M
2006-11-01,3.5728845861742777,3.570804594822583,3.628700888336551,3.6847433914983303,3.570698513815186,3.6399988092288176,3.6249301986993236,3.58733524079295,3.6961872854737354,3.6456086372763257,3.6864115775156288,3.6268150135735695,3.568696455457814,3.5742815619397614,3.643743079446716,3.5615110664952483,3.5769095676916236,3.6045178828033517,3.574659356963442,3.5696094735547983
2006-10-31,3.6236935317737418,3.6339804411100425,3.6770247401546956,3.724623159147908,3.632430397180328,3.686360838020517,3.6739425079754344,3.6443850894927046,3.7347018821435984,3.691049482792949,3.7260853881275193,3.675480991034632,3.632945148209019,3.634893474062745,3.689486521467636,3.6274171532260873,3.636748890543216,3.6575925302195147,3.634587515137462,3.6317013140519263
2006-10-30,3.5882891675185506,3.5855492455153524,3.6520021896778623,3.705677279911438,3.592209152299702,3.663023493287926,3.648295835331526,3.6102654353218777,3.7163765147914147,3.6684532366816067,3.707241661358284,3.650150352876723,3.583816768275005,3.5962393555503875,3.6666505294223595,3.579632852589709,3.5991306540055494,3.627936743300266,3.588997673495247,3.5909570530486716
2006-10-27,3.5887635770716217,3.587808321806033,3.6646754057782283,3.721790173121776,3.5991730556584316,3.676484372031882,3.6606925699593313,3.6193582257743255,3.7330727169299633,3.6822847294108816,3.723441676158359,3.6626862015919963,3.5863300701183074,3.6037424043570017,3.680360180877977,3.583835901592364,3.6069918006478896,3.638689586116806,3.5907112973568753,3.5977412083428386
2006-10-26,3.6005720712170834,3.6111535542750355,3.716082756441999,3.776724472193328,3.6405966922912114,3.7288561657199923,3.7117399539261156,3.6652010994979753,3.7884185145544134,3.7350789328361382,3.778441160480075,3.7139160990719127,3.6113944473463886,3.64638609977738,3.733017744162786,3.617235253316687,3.6504046834840334,3.6873631934555857,3.6101477697392905,3.6387399430010663
2006-10-25,3.6014391881620327,3.615635444965069,3.7357763898591054,3.8000226655860017,3.6531953189832786,3.7494163388447257,3.731123602352678,3.6806327522948292,3.8122812176535525,3.7560383988145927,3.801824547124853,3.7334560991814754,3.6164515575686615,3.6597284099142016,3.753846534710051,3.625598548181969,3.664230379101197,3.704839698176561,3.6133944357214136,3.6510860375150163
2006-10-24,3.5884324525471825,3.603451641449691,3.721101408241266,3.7846034430087707,3.6401062098699524,3.734552932311962,3.716516968791198,3.666917715181942,3.796758604165391,3.7410897279359503,3.786389404882887,3.7188149370931827,3.6043167118308017,3.646478928439511,3.738925646206464,3.6132863939411752,3.6508747980153706,3.69066085148153,3.601008070022982,3.6380504322015215
2006-10-23,3.5813842764673978,3.5971710968221746,3.7263754351968843,3.7939533150281117,3.6387210047811593,3.7407544779805475,3.721465961020511,3.6680001855888635,3.8068093145541404,3.7477285955851842,3.795843693940268,3.7239274412243173,3.598216596819478,3.6457156680340477,3.7454206712202316,3.6088020306331927,3.650525975043256,3.6936820494373355,3.5944252276330544,3.6364585258568374
2006-10-20,3.5600553168553715,3.569192181476172,3.688342039219002,3.7569558766236666,3.60226467404127,3.7028304839794033,3.6834114962071345,3.6304138703197903,3.77014046489971,3.709881547576263,3.758892268134137,3.6858824535050707,3.56926484771044,3.6088965354633022,3.707546513410214,3.5755073747571586,3.613496944140711,3.6556896627672213,3.568693582911872,3.600136754641508
2006-10-19,3.5415379055689162,3.5493688074916783,3.690310509152816,3.763225855386042,3.5932553468731623,3.7059540850425505,3.6849523742965746,3.626009573007398,3.7769325357936085,3.7135154958005923,3.7652444178481432,3.6876398917273727,3.5497393424934534,3.6011087728860334,3.7110150738511285,3.5597447220653375,3.6065000192618575,3.6544608235359086,3.548744951880346,3.5907120346162174
