FREQ;Frequency;INSTRUMENT_TYPE;Instrument Type;TENOR;Tenor;UNIT_MEASURE;Unit of Measure;COLLECTION;DECIMALS;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-10;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-11;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-16;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-17;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-18;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-21;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-23;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-24;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-25;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-28;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-29;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-30;0;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-01;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-05;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-06;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-07;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-08;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-09;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-12;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-13;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-16;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-19;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-20;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-21;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-23;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-26;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-27;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-28;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-29;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-10-30;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-03;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-04;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-05;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-06;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-09;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-10;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-11;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-12;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-13;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-16;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-17;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-18;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-19;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-20;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-23;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-24;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-25;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-26;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-27;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-11-30;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-01;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-03;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-04;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-07;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-08;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-09;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-10;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-11;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-12-16;0;N;Normal
