Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y7M
2014-08-01,0.29199137502420136,-0.028567479004271368,1.4173451137849131,-0.029805997693295172,0.836251978871891,0.2637987336995993,-0.01940265327189472,0.1837612264608195,0.7255876670498278,1.2221443645623493,-0.03031980663571332,1.263010570458845,-0.025568200054311596,0.03486017587157564,1.1804145198120573,1.3291280875506581,0.061140742224429445,0.5033250499629656,1.2494862715739377
2014-07-31,0.3090246505464256,-0.019694561818722756,1.439559668068366,-0.02068750721145518,0.8572719885318767,0.28050468106006576,-0.008599160335211575,0.1994194714485431,0.7460621164362262,1.2442663373869847,-0.020956754940528288,1.2851786028073864,-0.015239093886350918,0.04770760887569514,1.202475355379402,1.3513411658226282,0.07463118933082935,0.5223411272155953,1.2716405852582833
2014-07-30,0.29619809629894345,-0.023531817987165304,1.3903405799213262,-0.024319714464401176,0.8259615367393511,0.2686479453177606,-0.011705415524741802,0.19029471531416675,0.7184201362927762,1.200761364220039,-0.02441872037702364,1.2404480413798549,-0.018344575274766406,0.04337066688387825,1.160236489554272,1.304659443131638,0.0695129009686255,0.5022339581507378,1.227314012599373
2014-07-29,0.27831718910389025,-0.023923289581236018,1.3639796386756382,-0.025391645892091308,0.8019769611852903,0.25131569629830075,-0.017120773952407742,0.17478488496849298,0.6952372358304828,1.1749249712453844,-0.026155476098210784,1.2144824749536145,-0.02259076641758373,0.033328577755005195,1.1345434479416987,1.2785072073726962,0.05813721807577377,0.4812122803713903,1.2013899964967356
2014-07-28,0.28617104305555685,-0.021750310356235092,1.3895139567996768,-0.02321523073396925,0.8185136301363141,0.2587073770767345,-0.014628062684531873,0.18085240072368514,0.7100350404008751,1.197456799115158,-0.023964478210082962,1.2376442086974642,-0.020237150100419043,0.03684720177173739,1.1564312221368311,1.3026864939657798,0.06211998531933993,0.49248198286234324,1.2243433549286387
2014-07-25,0.2882262379995755,-0.027762754816165858,1.4065475125433924,-0.02908252672206757,0.8284274905659794,0.2602925680443633,-0.019337578715770576,0.18103567715025637,0.7184770139767256,1.2121963032624894,-0.02968111780109961,1.252871325626539,-0.02530060150220992,0.033908404174779694,1.17066859617651,1.3186941458788093,0.059821912158131596,0.49780414521424365,1.2394095459135386
2014-07-24,0.30349134331564187,-0.020451713032722862,1.4372504194848679,-0.0216732093948373,0.8521261632703254,0.27505029022046656,-0.010999306783686436,0.19428909218368418,0.7406250801028946,1.2407620674836322,-0.022164160486128903,1.281903423420558,-0.017267108251957985,0.0439217406903345,1.1987482301525825,1.3484598678578044,0.07048012070364429,0.516606806926112,1.2682883914299152
2014-07-23,0.28163446826709926,-0.016951195602661118,1.3965635764078677,-0.0189830597168692,0.8175995274897012,0.254185316145219,-0.01375018508855419,0.17659293407177756,0.7079840931455257,1.201495774221672,-0.020276215766841688,1.2422864941966365,-0.01850523813066074,0.03478527600729997,1.1598689320719426,1.3083350809635412,0.05936934861569387,0.4886652667208544,1.2287843989221505
2014-07-22,0.2986476141840262,-0.01834994583334182,1.4266276597556322,-0.019796356522163272,0.8436515342060344,0.2704798729022322,-0.010622576182351295,0.19058764465465572,0.7327196176699262,1.2307201948264481,-0.020509535019985314,1.2717286937485568,-0.0164748626942961,0.04255353002471951,1.188848214869533,1.338082798886993,0.0685741205710606,0.5100632936001297,1.2581569683994287
2014-07-21,0.28487598089110033,-0.021357750782611706,1.4041399898777494,-0.02311484100868144,0.8239247380227672,0.2571634358628252,-0.016091447173918638,0.1787099776263945,0.7138868106871392,1.2088067259789224,-0.024138096015817734,1.2496647437484665,-0.021334973007554936,0.03442943107561813,1.1671044802985255,1.315808880022706,0.059602856744666255,0.4934560206054366,1.2361410839661513
